"fecha","n","tavg","tmin","tmax","prcp","dia","tipo_dia","lluvia"
2022-01-01,2233,24.8,20.7,29.1,2.3,"sábado","Fin de semana","Llueve"
2022-01-02,3162,24.7,19.2,29.7,1.5,"domingo","Fin de semana","Llueve"
2022-01-03,7389,27.9,24.1,31.7,6.7,"lunes","Lunes a viernes","Llueve"
2022-01-04,7215,28.2,24.8,32.6,3.9,"martes","Lunes a viernes","Llueve"
2022-01-05,7611,21.7,16.7,31.7,0,"miércoles","Lunes a viernes","No llueve"
2022-01-06,8336,22.1,18.8,25.7,0,"jueves","Lunes a viernes","No llueve"
2022-01-07,8079,23.8,20.6,26.6,0,"viernes","Lunes a viernes","No llueve"
2022-01-08,3529,24.4,21.8,27.1,0,"sábado","Fin de semana","No llueve"
2022-01-09,3453,24.9,20.9,29.5,0,"domingo","Fin de semana","No llueve"
2022-01-10,7825,26.9,22.8,31.3,0,"lunes","Lunes a viernes","No llueve"
2022-01-11,6434,29.4,24.7,34.9,0.1,"martes","Lunes a viernes","Llueve"
2022-01-12,8254,26.1,22,36,0,"miércoles","Lunes a viernes","No llueve"
2022-01-13,7547,26.9,22.8,32.3,0,"jueves","Lunes a viernes","No llueve"
2022-01-14,6313,30.2,25.4,36.2,0,"viernes","Lunes a viernes","No llueve"
2022-01-15,1911,31.3,27.2,37,0.9,"sábado","Fin de semana","Llueve"
2022-01-16,1962,27.2,22.3,35.6,4.8,"domingo","Fin de semana","Llueve"
2022-01-17,7326,25.2,20.9,32.4,29.1,"lunes","Lunes a viernes","Llueve"
2022-01-18,5187,23.8,22.8,27.5,17.1,"martes","Lunes a viernes","Llueve"
2022-01-19,7087,23.8,21.1,26.2,0.8,"miércoles","Lunes a viernes","Llueve"
2022-01-20,8007,25.3,21.8,28.4,0,"jueves","Lunes a viernes","No llueve"
2022-01-21,7322,26.4,24.5,29,6.6,"viernes","Lunes a viernes","Llueve"
2022-01-22,1979,24.9,21.7,29.3,14,"sábado","Fin de semana","Llueve"
2022-01-23,3028,23.6,20.8,28.6,0,"domingo","Fin de semana","No llueve"
2022-01-24,8881,25.8,22.3,28.7,0,"lunes","Lunes a viernes","No llueve"
2022-01-25,8022,26.9,25.3,28.9,13.2,"martes","Lunes a viernes","Llueve"
2022-01-26,7877,25.7,18.7,29.7,3,"miércoles","Lunes a viernes","Llueve"
2022-01-27,9419,19.2,14.8,28.3,0,"jueves","Lunes a viernes","No llueve"
2022-01-28,9691,20.2,16.5,24.1,0.1,"viernes","Lunes a viernes","Llueve"
2022-01-29,3708,23.3,20,26.7,0,"sábado","Fin de semana","No llueve"
2022-01-30,3372,25.2,21.8,28.3,0,"domingo","Fin de semana","No llueve"
2022-01-31,9654,23.7,18.8,28.6,0,"lunes","Lunes a viernes","No llueve"
2022-02-01,10400,22.1,18.8,27.5,0,"martes","Lunes a viernes","No llueve"
2022-02-02,10000,25.4,19.9,29.5,0,"miércoles","Lunes a viernes","No llueve"
2022-02-03,7674,23.7,19.8,30.3,8.9,"jueves","Lunes a viernes","Llueve"
2022-02-04,9281,23.3,20.6,25.8,0,"viernes","Lunes a viernes","No llueve"
2022-02-05,2666,21.4,17.7,26.1,0,"sábado","Fin de semana","No llueve"
2022-02-06,3280,18.3,14.2,22.8,0.5,"domingo","Fin de semana","Llueve"
2022-02-07,10296,20.2,16,24.5,0,"lunes","Lunes a viernes","No llueve"
2022-02-08,11148,21,17.8,25.3,0,"martes","Lunes a viernes","No llueve"
2022-02-09,11238,22.2,18.9,26.5,0,"miércoles","Lunes a viernes","No llueve"
2022-02-10,10721,24.1,20.4,27.7,0,"jueves","Lunes a viernes","No llueve"
2022-02-11,7459,23.6,18,28.2,1.2,"viernes","Lunes a viernes","Llueve"
2022-02-12,3166,18.2,13.9,29.5,1.9,"sábado","Fin de semana","Llueve"
2022-02-13,3837,20.1,12.8,27.3,0,"domingo","Fin de semana","No llueve"
2022-02-14,10511,23.9,17.3,28.6,0,"lunes","Lunes a viernes","No llueve"
2022-02-15,10734,25.1,20.9,29.9,0,"martes","Lunes a viernes","No llueve"
2022-02-16,9912,27.1,23.5,31.6,0.2,"miércoles","Lunes a viernes","Llueve"
2022-02-17,10373,22.1,18.3,31.8,0,"jueves","Lunes a viernes","No llueve"
2022-02-18,9952,20.9,17.4,24.9,0,"viernes","Lunes a viernes","No llueve"
2022-02-19,3460,23.2,20.4,26,0,"sábado","Fin de semana","No llueve"
2022-02-20,1632,21.6,18.7,27.1,21.5,"domingo","Fin de semana","Llueve"
2022-02-21,11024,22.2,17.8,27.2,0,"lunes","Lunes a viernes","No llueve"
2022-02-22,11480,22,17.6,27.3,0,"martes","Lunes a viernes","No llueve"
2022-02-23,11392,22.4,18,25.3,0,"miércoles","Lunes a viernes","No llueve"
2022-02-24,7427,22.2,20.6,25,21.2,"jueves","Lunes a viernes","Llueve"
2022-02-25,10262,22.8,17.6,26.6,0,"viernes","Lunes a viernes","No llueve"
2022-02-26,2490,24.3,22.6,27.7,25.5,"sábado","Fin de semana","Llueve"
2022-02-27,1573,23.1,21.8,25.6,246.9,"domingo","Fin de semana","Llueve"
2022-02-28,5711,23.8,20.3,28.9,0,"lunes","Lunes a viernes","No llueve"
2022-03-01,5026,21.4,16.8,29.2,0,"martes","Lunes a viernes","No llueve"
2022-03-02,10391,24.2,18.9,30.6,0,"miércoles","Lunes a viernes","No llueve"
2022-03-03,11614,22.8,19,31.1,0,"jueves","Lunes a viernes","No llueve"
2022-03-04,9251,23.4,21.3,25.6,10.9,"viernes","Lunes a viernes","Llueve"
2022-03-05,3316,23.7,21.5,26.1,5.7,"sábado","Fin de semana","Llueve"
2022-03-06,3890,23.1,20.8,25.1,0,"domingo","Fin de semana","No llueve"
2022-03-07,10545,22.8,16.3,26.2,14,"lunes","Lunes a viernes","Llueve"
