"fecha","n","tmin","tmax","tmed","dia","tipo_dia"
2022-06-04,2495,9.2,15.1,12.15,"sábado","Fin de semana"
2022-06-05,1925,9.1,14.8,11.95,"domingo","Fin de semana"
2022-06-06,8308,8.8,13.5,11.15,"lunes","Lunes a viernes"
2022-06-07,8137,7.3,11.5,9.4,"martes","Lunes a viernes"
2022-06-08,8854,7.3,11.6,9.45,"miércoles","Lunes a viernes"
2022-06-09,8803,8.3,16.1,12.2,"jueves","Lunes a viernes"
2022-06-10,6890,4.2,11.5,7.85,"viernes","Lunes a viernes"
2022-06-11,2305,4.6,15.7,10.15,"sábado","Fin de semana"
2022-06-12,2561,6.4,14.6,10.5,"domingo","Fin de semana"
2022-06-13,9120,7.4,16.2,11.8,"lunes","Lunes a viernes"
2022-06-14,9169,9.3,15.6,12.45,"martes","Lunes a viernes"
2022-06-15,9647,9.6,15.6,12.6,"miércoles","Lunes a viernes"
2022-06-16,9474,9.5,17.2,13.35,"jueves","Lunes a viernes"
2022-06-17,2397,5.8,13.2,9.5,"viernes","Lunes a viernes"
2022-06-18,2616,3.4,16.6,10,"sábado","Fin de semana"
2022-06-19,2276,6.4,18,12.2,"domingo","Fin de semana"
2022-06-20,2468,7.6,13.4,10.5,"lunes","Lunes a viernes"
2022-06-21,8675,9.1,15.5,12.3,"martes","Lunes a viernes"
2022-06-22,7498,4.9,10.3,7.6,"miércoles","Lunes a viernes"
2022-06-23,7447,5.8,10.3,8.05,"jueves","Lunes a viernes"
2022-06-24,6954,8.3,11.5,9.9,"viernes","Lunes a viernes"
2022-06-25,2107,5.1,12.1,8.6,"sábado","Fin de semana"
2022-06-26,1586,7.3,10.3,8.8,"domingo","Fin de semana"
2022-06-27,7124,8.4,11.5,9.95,"lunes","Lunes a viernes"
2022-06-28,7587,9.8,16,12.9,"martes","Lunes a viernes"
2022-06-29,8602,7.8,19.1,13.45,"miércoles","Lunes a viernes"
2022-06-30,8801,9.5,15.3,12.4,"jueves","Lunes a viernes"
2022-07-01,5706,9.2,12.6,10.9,"viernes","Lunes a viernes"
2022-07-02,2461,8.2,14.3,11.25,"sábado","Fin de semana"
2022-07-03,2450,4.7,13.1,8.9,"domingo","Fin de semana"
2022-07-04,7984,8.8,13,10.9,"lunes","Lunes a viernes"
2022-07-05,8569,9,12.9,10.95,"martes","Lunes a viernes"
2022-07-06,5972,9.3,14,11.65,"miércoles","Lunes a viernes"
2022-07-07,8229,7.9,14.8,11.35,"jueves","Lunes a viernes"
2022-07-08,7692,5.1,13.7,9.4,"viernes","Lunes a viernes"
2022-07-09,2471,10.8,16.6,13.7,"sábado","Fin de semana"
2022-07-10,2349,14.8,21.5,18.15,"domingo","Fin de semana"
2022-07-11,6721,9.3,15.6,12.45,"lunes","Lunes a viernes"
2022-07-12,7865,4.6,11.9,8.25,"martes","Lunes a viernes"
2022-07-13,8283,7.3,14.4,10.85,"miércoles","Lunes a viernes"
2022-07-14,8208,9.7,14.2,11.95,"jueves","Lunes a viernes"
2022-07-15,5846,8.5,13.3,10.9,"viernes","Lunes a viernes"
2022-07-16,1403,8.4,11.7,10.05,"sábado","Fin de semana"
2022-07-17,2281,2.3,14.1,8.2,"domingo","Fin de semana"
2022-07-18,7478,5.4,17.7,11.55,"lunes","Lunes a viernes"
2022-07-19,8471,6.8,14.2,10.5,"martes","Lunes a viernes"
2022-07-20,8437,8.4,15.7,12.05,"miércoles","Lunes a viernes"
2022-07-21,8461,10.2,19.5,14.85,"jueves","Lunes a viernes"
2022-07-22,7896,9.1,17.2,13.15,"viernes","Lunes a viernes"
2022-07-23,1506,10.8,15.2,13,"sábado","Fin de semana"
2022-07-24,1580,11.9,15.3,13.6,"domingo","Fin de semana"
2022-07-25,4288,11.8,15.8,13.8,"lunes","Lunes a viernes"
2022-07-26,7487,14.1,20.8,17.45,"martes","Lunes a viernes"
2022-07-27,5339,14.5,19.6,17.05,"miércoles","Lunes a viernes"
2022-07-28,7229,9.9,16.8,13.35,"jueves","Lunes a viernes"
2022-07-29,7637,6.8,18.1,12.45,"viernes","Lunes a viernes"
2022-07-30,3353,8.1,17.2,12.65,"sábado","Fin de semana"
2022-07-31,3370,10.7,17.4,14.05,"domingo","Fin de semana"
